,filename,num_conflict_speech,num_Iconflict_speech,num_Dconflict_speech,num_Cconflict_speech,propotion_conflict_speech,propotion_Iconflict_speech,propotion_Dconflict_speech,propotion_Cconflict_speech,num_cdus_speech,num_edus_speech,NM1_speech,NM2_speech
4523,UNSC_2016_SPV.7643_spch015_edu_Senegal.txt,3,3,0,0,0.15789473684210525,0.15789473684210525,0.0,0.0,9,19,0.47368421052631576,0.057692307692307696
4542,UNSC_2016_SPV.7643_spch016_edu_New_Zealand.txt,3,0,3,0,0.16666666666666666,0.0,0.16666666666666666,0.0,9,18,0.5,0.07142857142857142
4560,UNSC_2016_SPV.7643_spch017_edu_Japan.txt,3,0,3,0,0.1111111111111111,0.0,0.1111111111111111,0.0,5,27,0.18518518518518517,0.022026431718061675
4587,UNSC_2016_SPV.7643_spch018_edu_Uruguay.txt,0,0,0,0,0.0,0.0,0.0,0.0,7,22,0.3181818181818182,0.03125
4609,UNSC_2016_SPV.7658_spch012_edu_United_Kingdom_Of_Great_Britain_And_Northern_Ireland.txt,3,0,3,0,0.031914893617021274,0.0,0.031914893617021274,0.0,11,94,0.11702127659574468,0.009708737864077669
4703,UNSC_2016_SPV.7658_spch013_edu_United_States_Of_America.txt,5,0,5,0,0.045871559633027525,0.0,0.045871559633027525,0.0,12,109,0.11009174311926606,0.009223674096848577
4812,UNSC_2016_SPV.7658_spch015_edu_China.txt,0,0,0,0,0.0,0.0,0.0,0.0,34,75,0.4533333333333333,0.04638472032742155
4887,UNSC_2016_SPV.7658_spch017_edu_New_Zealand.txt,0,0,0,0,0.0,0.0,0.0,0.0,6,78,0.07692307692307693,0.006795016987542469
4965,UNSC_2016_SPV.7658_spch023_edu_France.txt,0,0,0,0,0.0,0.0,0.0,0.0,34,118,0.288135593220339,0.023415977961432508
5083,UNSC_2016_SPV.7658_spch024_edu_Russian_Federation.txt,0,0,0,0,0.0,0.0,0.0,0.0,13,56,0.23214285714285715,0.02249134948096886
5139,UNSC_2016_SPV.7658_spch026_edu_Egypt.txt,15,9,6,0,0.16666666666666666,0.1,0.06666666666666667,0.0,15,90,0.16666666666666666,0.014058106841611996
5229,UNSC_2016_SPV.7658_spch029_edu_Angola.txt,6,0,6,0,0.06,0.0,0.06,0.0,10,100,0.1,0.008438818565400843
5329,UNSC_2016_SPV.7658_spch070_edu_Namibia.txt,2,0,2,0,0.021739130434782608,0.0,0.021739130434782608,0.0,12,92,0.13043478260869565,0.011594202898550725
